,school_id,intervention,actual_mean,predicted_mean,error
0,106162,0,32.43,33.37109999999997,0.9410999999999703
1,109219,0,32.46,30.762700000000017,1.6972999999999843
2,109501,0,32.71,32.09510000000002,0.6148999999999774
3,136625,0,32.62,31.38029999999994,1.239700000000056
4,109210,0,32.67,29.51170000000003,3.158299999999972
5,107674,0,35.98,35.012600000000006,0.9673999999999907
6,104842,0,37.82,36.37070000000005,1.4492999999999512
7,106388,0,35.77,34.11419999999999,1.6558000000000135
8,105082,0,36.86,33.53729999999999,3.3227000000000118
9,105011,0,32.66,32.43850000000002,0.2214999999999776
10,106302,0,33.71,32.642100000000006,1.0678999999999945
11,104777,0,32.71,32.332700000000024,0.3772999999999769
12,104538,0,37.61,34.838800000000035,2.771199999999965
13,107672,0,34.92,32.90039999999999,2.019600000000011
14,136595,0,30.76,28.8294,1.9306000000000019
15,106312,0,34.49,34.313399999999945,0.17660000000005738
16,107921,0,32.41,32.445899999999995,0.035899999999998045
17,105253,0,36.0,34.7816,1.2184000000000026
18,105022,0,37.42,35.99940000000003,1.4205999999999719
19,107747,0,31.25,31.9238,0.6738
20,105196,0,32.85,34.009099999999954,1.1590999999999525
21,105858,0,36.04,35.39699999999999,0.6430000000000078
22,107395,0,34.31,34.28739999999998,0.02260000000002549
23,107603,0,35.37,35.10619999999994,0.2638000000000602
24,105327,0,36.23,35.679500000000004,0.5504999999999924
25,109586,0,34.05,35.02120000000004,0.9712000000000458
26,109018,0,35.63,32.37600000000003,3.2539999999999694
27,107696,0,38.83,32.19869999999998,6.631300000000017
28,109183,0,31.12,28.65379999999997,2.4662000000000326
29,106768,0,34.68,33.14349999999999,1.5365000000000109
30,107261,0,36.53,34.857800000000026,1.6721999999999753
31,104627,0,36.52,34.1469,2.373100000000001
32,107825,0,38.06,34.10479999999999,3.955200000000012
33,107424,0,38.0,36.375099999999996,1.6249000000000038
34,105574,0,38.75,37.24760000000001,1.5023999999999873
35,106356,0,35.08,34.57229999999998,0.5077000000000211
36,106352,0,35.6,34.829599999999964,0.7704000000000377
37,105358,0,34.22,33.240899999999954,0.9791000000000452
38,105619,0,31.95,32.263599999999975,0.3135999999999761
39,106378,0,36.9,32.7894,4.110599999999998
40,104923,0,34.82,31.929500000000026,2.8904999999999745
41,106144,0,36.67,35.68980000000002,0.9801999999999822
42,107837,0,34.09,29.3508,4.739200000000004
43,105943,0,33.79,32.874099999999984,0.9159000000000148
44,105854,0,38.77,36.974500000000006,1.795499999999997
45,107909,0,35.4,27.37150000000001,8.028499999999987
46,106819,0,32.8,34.47740000000001,1.6774000000000129
47,106566,0,33.93,33.80069999999996,0.12930000000003616
48,105034,0,34.44,36.5684,2.128399999999999
49,105695,0,32.89,31.0389,1.8510999999999989
50,104881,0,30.7,33.6741,2.9741000000000035
51,107517,0,31.43,34.6988,3.268799999999999
52,107805,0,33.35,32.39829999999998,0.9517000000000237
53,106931,0,36.5,33.335899999999995,3.164100000000005
54,105320,0,36.8,36.810900000000046,0.010900000000049204
55,106138,0,33.97,32.929799999999986,1.040200000000013
56,106406,0,35.97,32.47979999999998,3.4902000000000157
57,105208,0,35.91,33.970299999999995,1.939700000000002
58,106666,0,34.43,32.731800000000014,1.6981999999999857
59,109087,0,35.87,33.499299999999955,2.370700000000042
60,107649,0,33.75,33.343399999999995,0.4066000000000045
61,106890,0,34.2,32.51769999999997,1.6823000000000334
62,105419,0,35.81,35.91799999999998,0.10799999999997567
63,105741,0,37.34,36.347100000000026,0.9928999999999775
64,108281,0,33.83,32.20989999999997,1.6201000000000292
65,105524,0,34.15,33.59190000000004,0.5580999999999605
66,104686,0,34.87,34.14269999999995,0.7273000000000494
67,105632,0,33.7,34.76409999999997,1.0640999999999678
68,109106,0,31.28,30.23940000000003,1.0405999999999729
69,106947,0,34.69,33.914500000000025,0.7754999999999725
70,106627,0,35.08,34.05070000000001,1.029299999999985
71,107675,0,34.03,33.51040000000002,0.5195999999999827
72,104699,0,37.24,32.85409999999996,4.385900000000042
73,104818,0,38.16,33.80099999999999,4.359000000000009
74,105492,0,35.0,35.0198,0.019799999999996487
75,106827,0,35.47,35.04399999999995,0.42600000000005167
76,104508,0,32.1,32.751499999999965,0.6514999999999631
77,108726,0,30.71,29.411500000000025,1.2984999999999758
78,105519,0,33.69,33.70080000000004,0.010800000000038779
79,104503,0,33.89,33.1058,0.7841999999999985
80,104530,0,34.12,32.98509999999996,1.1349000000000373
81,105030,0,36.76,36.62770000000006,0.1322999999999368
82,105789,0,38.0,36.333499999999994,1.6665000000000063
83,106874,0,33.46,36.79120000000003,3.331200000000031
84,108326,0,31.09,29.835100000000025,1.2548999999999744
85,106181,0,32.45,31.597899999999992,0.8521000000000107
86,107641,0,38.24,36.877399999999945,1.3626000000000573
87,105365,0,37.12,32.98999999999999,4.13000000000001
88,105748,0,34.85,34.470399999999955,0.3796000000000461
89,105745,0,37.42,35.84940000000004,1.5705999999999634
90,136794,0,32.29,31.677399999999984,0.6126000000000147
91,105446,0,33.95,32.78879999999997,1.1612000000000293
92,108868,0,33.4,31.800900000000034,1.5990999999999644
93,106238,0,35.59,34.38640000000004,1.203599999999966
94,107316,0,30.77,32.3686,1.5986000000000011
95,104949,0,38.56,36.527499999999975,2.0325000000000273
96,107496,0,34.27,34.09219999999999,0.17780000000001195
97,106418,0,32.23,31.6302,0.5997999999999983
98,104950,0,38.69,36.990300000000026,1.6996999999999716
99,107468,0,33.75,33.422200000000004,0.3277999999999963
100,107898,0,31.69,31.220600000000033,0.4693999999999683
