school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred,region,province
107181,42.08050155639648,36.587833404541016,0,38.43832778930664,28.36140060424805,32.170360565185554,47.176475524902344,1,8
107687,40.23013687133789,21.468765258789066,0,41.52590942382813,30.067554473876953,50.84400177001953,69.76749420166016,2,2
105777,1.8238108158111568,26.01235580444336,0,-1.0,-1.0,-1.0,-1.0,1,7
107836,12.779138565063475,40.308101654052734,0,39.20155334472656,29.8790340423584,30.67384147644043,31.4263858795166,2,2
105234,6.586102485656737,18.202356338500977,0,-1.0,-1.0,-1.0,-1.0,1,7
136871,74.64616394042969,61.04489135742188,0,-1.0,-1.0,-1.0,-1.0,0,6
105716,18.523113250732425,38.03273010253906,0,39.06820297241211,50.92512512207031,51.66822052001953,50.89630508422852,1,7
109654,42.24446868896485,40.71921157836914,0,-1.0,-1.0,-1.0,-1.0,2,2
104480,14.196024894714355,59.82629776000977,0,13.84571647644043,39.450660705566406,47.928260803222656,19.54986953735352,1,0
104641,9.018020629882812,65.13755798339844,0,-1.0,-1.0,-1.0,-1.0,1,1
108316,78.94664764404297,60.6694450378418,0,-1.0,-1.0,-1.0,-1.0,2,5
105102,17.387882232666016,33.835323333740234,0,-1.0,-1.0,-1.0,-1.0,1,3
158511,9.844298362731934,64.45314788818361,0,-1.0,-1.0,-1.0,-1.0,1,3
106795,0.8825980424880981,13.141800880432127,0,37.065528869628906,27.469057083129886,26.663145065307614,24.650672912597656,1,11
106749,28.570636749267575,28.160762786865234,0,35.3167724609375,26.15878295898437,35.689598083496094,26.946252822875977,1,11
107154,53.24637985229492,63.85709762573242,0,62.57023620605469,51.81635665893555,73.98036193847656,60.32539749145508,1,3
106201,37.630855560302734,49.31710815429688,0,-1.0,-1.0,-1.0,-1.0,1,8
106001,4.672200679779053,38.09664916992188,0,61.98194122314453,39.523841857910156,60.92677688598633,49.46833419799805,1,8
105592,10.713627815246582,52.01243209838867,0,-1.0,-1.0,-1.0,-1.0,1,7
136901,78.04330444335938,63.51400756835938,0,51.82782363891602,56.72192001342773,56.37252426147461,55.83222579956055,0,6
136490,71.87626647949219,55.72496032714844,0,57.93505477905274,52.66133499145508,67.95002746582031,67.958251953125,0,6
106896,29.36586761474609,60.02030944824219,0,53.54603576660156,57.03435516357422,36.7930793762207,21.591577529907227,1,12
105776,3.621358156204224,25.88254547119141,0,-1.0,-1.0,-1.0,-1.0,1,7
105000,11.65051555633545,38.45917892456055,0,-1.0,-1.0,-1.0,-1.0,1,3
108233,51.0660285949707,55.51201629638672,0,65.85227966308594,54.64253234863281,43.04922103881836,59.91200256347656,2,5
105270,19.617313385009766,7.078717708587647,0,41.07165145874024,70.4149398803711,25.04633331298828,48.42432022094727,1,7
106263,3.0636196136474614,31.362401962280273,0,64.64420318603516,45.18551635742188,40.72229385375977,26.450639724731445,1,8
105303,14.511744499206545,38.7557373046875,0,-1.0,-1.0,-1.0,-1.0,1,7
109109,51.39235305786133,24.99358940124512,0,-1.0,-1.0,-1.0,-1.0,2,9
105197,47.33294677734375,67.56870269775389,0,30.17438697814941,45.79834747314453,24.245147705078125,29.058773040771484,1,7
105049,28.22519874572754,31.977970123291016,0,47.19806671142578,48.30422592163086,47.19109725952149,59.86307907104492,1,3
109759,60.26760482788086,40.93513488769531,0,35.50088119506836,26.157772064208984,28.94200897216797,36.4176139831543,2,5
105108,1.5026910305023191,32.890640258789055,0,45.1037483215332,43.76831817626953,18.1507568359375,30.993206024169922,1,3
107893,75.0510482788086,56.8628921508789,0,-1.0,-1.0,-1.0,-1.0,2,4
105925,37.569496154785156,64.11995697021484,0,-1.0,-1.0,-1.0,-1.0,1,8
109773,55.83580017089844,49.63209915161133,0,53.32274627685547,43.94873428344727,28.29847717285156,55.35708618164063,2,5
229001,21.17897605895996,40.32722854614258,0,49.35966873168945,30.419231414794922,35.58687210083008,25.24601173400879,1,7
105620,0.6729532480239868,22.293195724487305,0,36.40872573852539,43.9682731628418,46.0156364440918,34.38515853881836,1,7
109669,46.74943923950195,58.66201400756836,0,-1.0,-1.0,-1.0,-1.0,2,2
106595,21.468793869018555,37.6189079284668,0,-1.0,-1.0,-1.0,-1.0,1,11
105213,12.14551830291748,57.05516815185547,0,43.048622131347656,40.27424621582031,38.40013122558594,45.61294555664063,1,7
105548,4.855693340301514,19.40743637084961,0,36.63276672363281,58.40297317504883,31.03957176208496,48.50464630126953,1,7
105664,2.6522290706634517,33.57836532592773,0,-1.0,-1.0,-1.0,-1.0,1,7
107320,6.818563461303711,54.29693603515625,0,39.05153274536133,50.74853897094727,52.436439514160156,52.83688735961914,2,2
108681,72.19585418701172,64.56575012207031,0,29.23649787902832,49.46994400024414,41.71798706054688,43.54509735107422,2,9
105329,31.567487716674805,26.5997371673584,0,-1.0,-1.0,-1.0,-1.0,1,7
106469,2.045034646987915,14.380611419677734,0,37.866458892822266,27.485279083251953,36.843204498291016,20.694929122924805,1,11
108443,77.88807678222656,55.18857955932617,0,37.514896392822266,45.38294219970703,40.19948196411133,45.33739852905274,2,5
107297,4.140600681304932,23.636829376220703,0,-1.0,-1.0,-1.0,-1.0,2,2
104869,22.98874473571777,20.78411102294922,0,-1.0,-1.0,-1.0,-1.0,1,3
105361,3.076354503631592,22.86201477050781,0,-1.0,-1.0,-1.0,-1.0,1,7
136652,75.20922088623047,46.19013214111328,0,-1.0,-1.0,-1.0,-1.0,0,6
107699,34.274246215820305,63.3094482421875,0,-1.0,-1.0,-1.0,-1.0,2,2
107942,39.60686492919922,43.044246673583984,0,-1.0,-1.0,-1.0,-1.0,2,4
107491,4.172504901885986,36.553653717041016,0,48.0146598815918,30.768022537231445,24.611799240112305,23.74903106689453,2,2
107383,2.711505174636841,69.65183258056639,0,-1.0,-1.0,-1.0,-1.0,2,2
136842,53.15945816040039,43.1609001159668,0,52.94218826293945,72.79460144042969,66.98719024658203,68.09422302246094,0,6
104697,39.34632873535156,50.01811218261719,0,-1.0,-1.0,-1.0,-1.0,1,1
108849,69.22358703613281,74.0392074584961,0,-1.0,-1.0,-1.0,-1.0,2,9
109589,55.4196662902832,34.37614059448242,0,32.19883346557617,40.53375244140625,35.92068862915039,43.57044219970703,2,2
104947,26.734851837158203,52.382789611816406,0,-1.0,-1.0,-1.0,-1.0,1,3
