school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred,region,province
106162,10.707565307617188,2.445940494537353,0,32.940414428710945,22.95332336425781,26.82796669006348,21.702356338500977,1,8
109219,47.85151290893555,35.54815673828125,0,-1.0,-1.0,-1.0,-1.0,2,9
109501,45.36102294921875,20.984426498413086,0,-1.0,-1.0,-1.0,-1.0,2,10
106122,3.4550905227661133,3.34131932258606,0,21.63140296936035,30.656089782714844,33.998424530029304,26.682228088378906,1,8
136625,53.64900207519531,45.43423461914063,0,42.07255935668945,33.60317230224609,15.53330135345459,38.568214416503906,0,6
109210,75.80159759521484,35.573734283447266,0,-1.0,-1.0,-1.0,-1.0,2,9
107674,53.84387969970703,45.84020614624024,0,17.75066375732422,10.569339752197266,22.53647232055664,21.188640594482425,2,2
104842,2.755023002624512,3.123198747634888,0,40.3003044128418,32.954158782958984,22.56563377380371,50.72941207885742,1,3
106388,6.7851624488830575,31.65979385375977,0,-1.0,-1.0,-1.0,-1.0,1,11
105082,0.13231699168682098,3.666041135787964,0,28.19708251953125,21.772388458251953,19.363683700561523,26.207239151000977,1,3
105011,1.48967182636261,18.63030815124512,0,31.545507431030273,25.964303970336914,14.889359474182127,32.117698669433594,1,3
106302,15.321818351745605,32.44742965698242,0,43.35654067993164,33.72352981567383,42.41653442382813,43.669132232666016,1,8
104777,38.66753768920898,51.8216552734375,0,-1.0,-1.0,-1.0,-1.0,1,3
104538,50.13655853271485,17.830692291259766,0,17.49538230895996,32.118927001953125,31.673696517944336,30.845197677612305,1,1
107672,41.86531066894531,32.66046905517578,0,22.549352645874023,15.72005558013916,16.609041213989258,14.909480094909668,2,2
104805,5.026487827301025,35.66393280029297,0,-1.0,-1.0,-1.0,-1.0,1,3
108048,14.41660213470459,18.13077545166016,0,44.87701416015625,36.53564834594727,22.0634822845459,16.793983459472653,2,4
106312,6.015330314636231,24.53521156311035,0,25.771934509277344,22.90312576293945,36.112789154052734,22.41781234741211,1,11
105657,51.18708801269531,2.2533233165740967,0,-1.0,-1.0,-1.0,-1.0,1,7
105253,15.234663963317873,23.75852203369141,0,-1.0,-1.0,-1.0,-1.0,1,7
107502,22.42133140563965,7.750773429870605,0,11.795381546020508,11.79096508026123,25.9698429107666,12.319246292114258,2,2
106141,3.476658821105957,7.263999938964844,0,17.456071853637695,7.912202835083008,28.178136825561523,21.69132232666016,1,8
