,school_id,latitude,longitude,type
95,31329576,-20.8942659,-45.2774825,"['establishment', 'point_of_interest', 'school']"
96,43083153,-29.46689,-51.9642997,"['establishment', 'point_of_interest', 'school']"
97,33220808,-22.9013769,-43.1825321,"['establishment', 'point_of_interest', 'school']"
98,21187703,-22.888275,-43.2723972,"['establishment', 'point_of_interest', 'school']"
99,26183358,-8.218412599999999,-35.6672747,"['establishment', 'point_of_interest', 'school']"
101,42141311,-27.6495319,-48.6706853,"['establishment', 'point_of_interest', 'school']"
102,33024537,-21.8226208,-42.0885235,"['establishment', 'point_of_interest', 'school']"
104,35112707,-22.873836,-47.06385299999999,"['establishment', 'point_of_interest', 'school']"
105,35151774,-23.5438708,-46.3020801,"['establishment', 'point_of_interest', 'school']"
106,15140725,-1.3733082,-48.3870412,"['establishment', 'point_of_interest', 'school']"
107,23077387,-3.7173509,-38.5467677,"['establishment', 'point_of_interest', 'school']"
108,35125830,-23.707462,-46.700365,"['establishment', 'point_of_interest', 'school']"
109,35440826,-23.6441104,-46.7151187,"['establishment', 'point_of_interest', 'school']"
110,26124831,-8.1198468,-34.9555621,"['establishment', 'point_of_interest', 'school']"
113,23190884,-7.2457239,-39.3378527,"['establishment', 'point_of_interest', 'school']"
114,35811385,-23.526408,-46.5499581,"['establishment', 'point_of_interest', 'school']"
115,11028424,-3.7477006,-38.4905675,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
116,16007735,0.007061,-51.067327,"['establishment', 'point_of_interest', 'school']"
117,35014278,-23.0349054,-45.54757,"['establishment', 'point_of_interest', 'school']"
118,22115536,-5.0965516,-42.8132255,"['establishment', 'point_of_interest', 'school']"
120,31098647,-21.1352812,-42.3886838,"['establishment', 'point_of_interest', 'school']"
122,26181231,-8.03141,-34.8953197,"['establishment', 'point_of_interest', 'school']"
123,23323418,-3.7009413,-38.5824314,"['establishment', 'point_of_interest', 'school']"
