school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred
106162,42.82477569580078,7.875233650207519,0,25.379817962646484,21.609130859375,36.48520278930664,30.25657844543457
109219,66.80621337890625,30.402767181396484,0,-1.0,-1.0,-1.0,-1.0
109501,27.68981742858887,65.36004638671875,0,-1.0,-1.0,-1.0,-1.0
136625,54.01106643676758,71.96171569824219,0,73.25029754638672,59.88010787963867,28.68235969543457,53.13393020629883
109210,72.57504272460938,63.7343635559082,0,-1.0,-1.0,-1.0,-1.0
107674,39.02429580688477,33.754478454589844,0,36.53787612915039,32.000362396240234,18.638954162597656,18.531116485595703
104842,20.183732986450195,9.365865707397461,0,66.75078582763672,36.62888717651367,28.65852165222168,65.73193359375
106388,20.793359756469727,22.417409896850586,0,-1.0,-1.0,-1.0,-1.0
105082,13.848296165466307,38.4112663269043,0,40.4195442199707,42.75543975830078,34.91814422607422,45.7706527709961
105011,11.447675704956055,27.78280639648437,0,41.18011093139648,19.566377639770508,36.22536087036133,42.829097747802734
106302,45.29941940307617,41.43090057373047,0,32.760223388671875,39.127140045166016,37.984642028808594,51.6782112121582
104777,34.28834915161133,46.04604721069336,0,-1.0,-1.0,-1.0,-1.0
104538,53.11398315429688,47.89741134643555,0,45.081336975097656,49.04864883422852,32.721961975097656,41.77155303955078
107672,48.46133041381836,44.677391052246094,0,28.42156219482422,25.4612979888916,16.790054321289062,14.057825088500975
104805,11.837833404541016,73.15364837646484,0,-1.0,-1.0,-1.0,-1.0
108048,38.30748748779297,37.47236251831055,0,47.63278198242188,40.71808242797852,35.12154006958008,49.51996612548828
106312,24.49670791625977,28.40341377258301,0,48.15744400024414,15.11772918701172,53.36824035644531,41.12290954589844
107921,39.19390869140625,56.42729949951172,0,-1.0,-1.0,-1.0,-1.0
105253,11.328986167907715,51.55591201782226,0,-1.0,-1.0,-1.0,-1.0
107502,31.87028503417969,24.18635177612305,0,21.104713439941406,16.624824523925778,41.09727478027344,22.017719268798828
105022,24.38027191162109,23.344276428222656,0,52.3484001159668,48.96212387084961,28.270233154296875,47.95240020751953
107747,5.274277210235597,64.81074523925781,0,16.346439361572266,26.57402992248535,13.327160835266113,5.636716365814209
106067,36.59135055541992,50.168663024902344,0,-1.0,-1.0,-1.0,-1.0
105196,25.89472770690918,8.774615287780763,0,26.33095741271973,36.8319091796875,24.37161445617676,27.12179756164551
105858,1.8345760107040403,62.46069717407226,0,18.298322677612305,25.79698944091797,22.528722763061523,48.13218688964844
107395,10.431204795837402,36.14563751220703,0,-1.0,-1.0,-1.0,-1.0
107603,44.74114227294922,68.43258666992189,0,-1.0,-1.0,-1.0,-1.0
105327,2.279975414276123,23.37503433227539,0,18.633888244628906,50.3056526184082,16.32194709777832,26.28132057189941
136612,45.55455017089844,68.10928344726561,0,-1.0,-1.0,-1.0,-1.0
109586,41.82741165161133,41.11759567260742,0,-1.0,-1.0,-1.0,-1.0
109018,53.675575256347656,35.099292755126946,0,-1.0,-1.0,-1.0,-1.0
107696,60.48538589477539,39.64654922485352,0,-1.0,-1.0,-1.0,-1.0
157505,17.78962516784668,72.20079040527344,0,34.296504974365234,25.215089797973636,17.98970603942871,34.60489273071289
109183,81.02349853515625,44.24195098876953,0,-1.0,-1.0,-1.0,-1.0
106768,26.56359672546387,31.67914390563965,0,44.63993835449219,36.745697021484375,39.491844177246094,13.85808563232422
107261,58.50479125976562,62.99290466308594,0,-1.0,-1.0,-1.0,-1.0
104627,34.78944778442383,36.68989562988281,0,31.798044204711914,23.557016372680664,28.33691024780273,40.46161651611328
107825,19.927305221557614,15.187141418457033,0,22.73012924194336,13.66791534423828,14.873369216918945,34.708202362060554
107424,1.345350980758667,26.62038803100586,0,47.18718719482422,55.44297790527344,27.15182685852051,45.86790084838867
105574,9.235915184020996,9.479940414428713,0,45.77989959716797,18.46894836425781,19.97397232055664,26.280672073364254
106356,17.707530975341797,22.607276916503906,0,-1.0,-1.0,-1.0,-1.0
106352,2.49381160736084,29.138437271118164,0,15.050390243530273,14.975875854492188,4.031229019165038,11.03139877319336
105358,5.854605674743652,13.377716064453125,0,-1.0,-1.0,-1.0,-1.0
305444,33.961048126220696,54.40427017211914,0,32.89906692504883,24.195232391357425,61.60545349121094,33.76934051513672
109218,60.85625839233398,61.27919387817383,0,-1.0,-1.0,-1.0,-1.0
136877,26.75363731384277,76.57572937011719,0,-1.0,-1.0,-1.0,-1.0
109852,32.13516616821289,49.02912902832031,0,-1.0,-1.0,-1.0,-1.0
106378,34.99862670898437,10.761577606201172,0,-1.0,-1.0,-1.0,-1.0
104923,48.349525451660156,61.07337951660156,0,-1.0,-1.0,-1.0,-1.0
106144,18.46843147277832,46.30884552001953,0,-1.0,-1.0,-1.0,-1.0
107837,35.31340789794922,8.876565933227539,0,-1.0,-1.0,-1.0,-1.0
105943,11.49213409423828,11.226508140563963,0,42.6989631652832,17.82355308532715,24.22707748413086,26.66017723083496
105854,2.2284014225006104,5.611380577087402,0,-1.0,-1.0,-1.0,-1.0
107909,79.04463195800781,55.11060333251953,0,-1.0,-1.0,-1.0,-1.0
107685,70.54922485351562,42.962501525878906,0,49.98053741455078,43.51188278198242,55.06057739257813,56.91813659667969
165505,37.63073348999024,63.40310668945313,0,-1.0,-1.0,-1.0,-1.0
106819,24.80368614196777,5.98220157623291,0,-1.0,-1.0,-1.0,-1.0
162504,65.10500335693361,56.32113265991211,0,-1.0,-1.0,-1.0,-1.0
106123,11.722259521484375,47.42683792114258,0,51.26526260375977,34.279998779296875,52.052696228027344,18.912153244018555
108691,72.91434478759766,43.25495147705078,0,-1.0,-1.0,-1.0,-1.0
106566,6.30178689956665,19.835111618041992,0,13.263315200805664,5.926079273223878,47.67634582519531,53.9658432006836
105034,2.1309237480163574,26.326927185058594,0,-1.0,-1.0,-1.0,-1.0
105695,4.062187194824219,47.73174667358398,0,20.151750564575195,55.39739227294922,53.94511413574219,50.92777633666992
105562,16.016042709350586,6.474295139312744,0,65.74452209472656,40.63444900512695,17.732046127319336,28.38221740722656
107002,50.66688537597656,3.2504987716674805,0,25.53953742980957,44.30109405517578,28.05827522277832,40.2971076965332
107517,25.495037078857425,15.048779487609865,0,21.67576026916504,27.432781219482425,24.65757942199707,11.500635147094727
106931,10.005914688110352,27.40153312683105,0,-1.0,-1.0,-1.0,-1.0
105320,14.569150924682615,3.4700636863708496,0,-1.0,-1.0,-1.0,-1.0
106138,35.43295288085937,35.3963508605957,0,29.460731506347656,29.478116989135746,22.617469787597656,18.27020263671875
136788,46.52265167236328,50.170372009277344,0,41.55217361450195,56.66631317138672,80.79753112792969,77.02916717529297
106406,39.49474716186523,15.268796920776367,0,-1.0,-1.0,-1.0,-1.0
105208,5.326744556427002,30.77121162414551,0,46.47431182861328,14.485934257507324,43.3956184387207,30.688432693481445
106666,0.5089401006698608,11.453389167785645,0,41.89047622680664,8.880138397216797,44.776893615722656,17.56135368347168
109087,60.65185546875,53.37275695800781,0,42.40319442749024,62.463294982910156,32.50162124633789,42.20227813720703
107649,8.175408363342285,40.16057586669922,0,-1.0,-1.0,-1.0,-1.0
106890,43.352447509765625,27.4080753326416,0,-1.0,-1.0,-1.0,-1.0
105419,1.4219617843627932,1.9254634380340576,0,-1.0,-1.0,-1.0,-1.0
105741,9.096050262451172,27.85732650756836,0,-1.0,-1.0,-1.0,-1.0
108281,72.4356460571289,52.73312377929688,0,40.55767059326172,46.34163284301758,54.4842529296875,31.80764389038086
105524,9.474565505981444,9.41950511932373,0,-1.0,-1.0,-1.0,-1.0
105632,0.9997015595436096,52.3656005859375,0,-1.0,-1.0,-1.0,-1.0
109106,50.3822021484375,14.901656150817873,0,42.04469299316406,47.55414581298828,27.93761444091797,23.566265106201172
106947,11.587050437927244,13.622014045715332,0,-1.0,-1.0,-1.0,-1.0
