,school_id,intervention,actual_mean,predicted_mean,error
0,106162,0,28.38,28.993800000000043,0.6138000000000439
1,109219,0,28.92,20.56770000000001,8.352299999999993
2,109501,0,32.19,31.096100000000032,1.093899999999966
3,136625,0,27.91,24.593899999999998,3.3161000000000023
4,109210,0,31.08,21.952099999999994,9.127900000000004
5,107674,0,33.12,31.501999999999956,1.6180000000000412
6,104842,0,36.95,33.98529999999996,2.964700000000043
7,106388,0,33.42,29.95640000000002,3.463599999999982
8,105082,0,33.66,32.57559999999997,1.0844000000000236
9,105011,0,27.75,29.3417,1.5916999999999994
10,106302,0,30.67,28.77730000000002,1.89269999999998
11,104777,0,27.21,27.071900000000007,0.13809999999999434
12,104538,0,38.09,32.16630000000001,5.923699999999997
13,107672,0,29.13,28.812899999999996,0.3171000000000035
14,104805,0,31.91,30.81879999999999,1.0912000000000113
15,108048,0,32.11,30.2057,1.9042999999999992
16,106312,0,36.35,33.215899999999976,3.134100000000025
17,107921,0,26.19,27.738100000000042,1.5481000000000407
18,105253,0,31.52,29.5171,2.0029000000000003
19,107502,0,28.23,27.98980000000001,0.24019999999999087
20,105022,0,37.97,30.18030000000002,7.7896999999999785
21,107747,0,35.35,33.530399999999965,1.8196000000000367
22,106067,0,29.2,28.58219999999999,0.6178000000000097
23,105196,0,28.45,28.80179999999999,0.3517999999999901
24,105858,0,32.01,31.833100000000062,0.1768999999999359
25,107395,0,29.52,30.258699999999997,0.7386999999999979
26,107603,0,32.11,30.370200000000022,1.7397999999999776
27,105327,0,33.62,33.89389999999997,0.27389999999996917
28,136612,0,30.07,27.682800000000025,2.387199999999975
29,109586,0,34.9,29.999300000000027,4.900699999999972
30,109018,0,33.29,25.70929999999999,7.580700000000011
31,107696,0,35.86,32.20230000000001,3.6576999999999913
32,157505,0,27.3,27.47540000000002,0.17540000000001754
33,109183,0,35.09,31.672200000000007,3.417799999999996
34,106768,0,29.16,28.530999999999985,0.6290000000000155
35,107261,0,34.69,21.432100000000002,13.257899999999996
36,104627,0,33.65,32.92490000000004,0.7250999999999621
37,107825,0,35.76,33.67890000000005,2.0810999999999495
38,107424,0,34.97,34.14569999999994,0.8243000000000578
39,105574,0,37.76,34.701800000000055,3.0581999999999425
40,106356,0,35.54,30.391099999999984,5.148900000000015
41,106352,0,38.77,32.733899999999984,6.036100000000019
42,105358,0,34.56,32.409600000000005,2.1503999999999976
43,305444,0,26.74,26.35799999999999,0.38200000000000855
44,109218,0,31.41,29.684200000000004,1.725799999999996
45,136877,0,33.22,30.700399999999956,2.519600000000043
46,109852,0,27.48,25.04960000000001,2.4303999999999917
47,106378,0,37.81,35.42369999999996,2.386300000000041
48,104923,0,28.66,22.389399999999988,6.270600000000012
49,106144,0,26.67,29.333799999999993,2.6637999999999913
50,107837,0,29.74,30.031799999999972,0.29179999999997364
51,105943,0,29.37,30.463899999999963,1.0938999999999623
52,105854,0,37.81,35.83889999999995,1.9711000000000496
53,107909,0,34.39,32.370199999999976,2.019800000000025
54,107685,0,28.29,20.706199999999985,7.583800000000014
55,165505,0,33.69,26.24390000000001,7.446099999999987
56,106819,0,30.23,30.00100000000002,0.22899999999998144
57,162504,0,27.39,24.051400000000008,3.3385999999999925
58,106123,0,30.75,31.21750000000001,0.46750000000000824
59,108691,0,27.37,22.653799999999997,4.716200000000004
60,106566,0,33.33,30.731899999999964,2.5981000000000343
61,105034,0,32.91,32.55429999999997,0.3557000000000272
62,105695,0,28.85,29.208099999999963,0.3580999999999612
63,105562,0,33.19,31.67360000000003,1.5163999999999689
64,107002,0,30.84,31.226800000000026,0.3868000000000258
65,107517,0,31.75,28.170900000000003,3.579099999999997
66,106931,0,33.88,33.980300000000064,0.10030000000006112
67,105320,0,35.61,30.468699999999984,5.141300000000015
68,106138,0,28.88,29.559200000000033,0.6792000000000336
69,136788,0,27.88,26.32970000000005,1.5502999999999503
70,106406,0,35.78,32.99770000000003,2.782299999999971
71,105208,0,37.63,35.654800000000044,1.9751999999999583
72,106666,0,28.05,28.81920000000002,0.7692000000000192
73,109087,0,27.3,25.3293,1.9707000000000008
74,107649,0,35.0,32.953,2.046999999999997
75,106890,0,31.87,28.63519999999995,3.2348000000000496
76,105419,0,26.25,29.897900000000003,3.6479000000000035
77,105741,0,36.26,34.33160000000006,1.9283999999999395
78,108281,0,28.87,27.043899999999955,1.8261000000000465
79,105524,0,32.63,32.23460000000003,0.3953999999999738
80,105632,0,35.67,34.649900000000024,1.020099999999978
81,109106,0,29.75,30.188599999999994,0.4385999999999939
82,106947,0,36.54,34.97459999999997,1.5654000000000323
83,106627,0,32.78,30.537500000000033,2.2424999999999677
84,107675,0,29.03,28.486900000000027,0.5430999999999742
85,104699,0,36.24,28.81180000000001,7.428199999999993
86,104818,0,36.34,34.061300000000024,2.2786999999999793
87,105492,0,30.2,29.890499999999964,0.3095000000000354
88,106827,0,32.21,32.562700000000014,0.3527000000000129
89,108726,0,28.31,28.773499999999967,0.4634999999999678
90,105519,0,31.19,31.343000000000014,0.1530000000000129
91,104503,0,37.7,34.629799999999975,3.0702000000000282
92,106126,0,28.3,29.50040000000003,1.2004000000000303
93,104530,0,32.59,32.12260000000004,0.4673999999999623
94,105030,0,34.79,34.14699999999998,0.643000000000022
95,105789,0,36.91,29.666299999999996,7.2437000000000005
96,159515,0,25.95,32.25330000000002,6.303300000000018
97,106874,0,34.48,33.85680000000001,0.62319999999999
98,106181,0,28.69,28.754600000000032,0.06460000000003063
99,107641,0,31.61,31.107100000000024,0.5028999999999755
