,school_id,latitude,longitude,region,division,province,municipality,district
4438,105489,15.710081,121.010325,Region III,Nueva Ecija,Nueva Ecija,Llanera,Llanera
4439,105490,15.706695,121.00596999999999,Region III,Nueva Ecija,Nueva Ecija,Llanera,Llanera
4440,104635,14.436111,120.48388899999999,Region III,Bataan,Bataan,Mariveles,Mariveles
4441,105715,15.698559,120.967752,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City West
4442,104727,14.937552,120.98680900000001,Region III,Bulacan,Bulacan,Angat,Angat
4443,104408,15.76694444,121.55833329999999,Region III,Aurora,Aurora,Baler  (Capital),Baler
4444,106902,15.43489371,119.9033068,Region III,Zambales,Zambales,Palauig,Palauig
4445,106443,15.610583,120.60910600000001,Region III,Tarlac,Tarlac,Gerona,Gerona North
4446,104900,14.765629,120.934799,Region III,Bulacan,Bulacan,Marilao,Marilao
4447,104901,14.76386093,120.9425877,Region III,Bulacan,Bulacan,Marilao,Marilao
4448,105716,15.789558,120.980822,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City West
4449,105717,15.781532,120.96988200000001,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City West
4450,105234,15.949325,121.09657800000001,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
4451,107022,15.14341231,120.61817179999998,Region III,Angeles City,Pampanga,Angeles City,East District
4452,105477,15.522746,120.78618700000001,Region III,Nueva Ecija,Nueva Ecija,Licab,Licab
4453,106557,15.6708111,120.591664,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
4454,104530,14.722129,120.5348629,Region III,Bataan,Bataan,Abucay,Abucay
4455,104834,14.8562939,120.76458219999999,Region III,Bulacan,Bulacan,Hagonoy,Hagonoy East
4457,104451,15.27194444,121.3552778,Region III,Aurora,Aurora,Dingalan,Dingalan
4458,107062,15.47175,120.958161,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City East District
4459,106162,15.124978,120.642723,Region III,Pampanga,Pampanga,Mexico,Mexico North
4460,106574,15.659192,120.56356299999999,Region III,Tarlac,Tarlac,Paniqui,Paniqui South
