,school_id,intervention,actual_mean,predicted_mean,error
289,106453,0,37.462,35.60097999999999,1.8610200000000106
290,109204,0,28.875999999999998,23.22092,5.655079999999998
291,108014,0,37.15,35.29230000000004,1.8576999999999586
292,106784,0,36.248000000000005,34.56990000000002,1.6780999999999864
293,107542,0,27.966,30.565300000000008,2.5993000000000066
294,107701,0,33.948,33.18202,0.765979999999999
295,159013,0,31.426,32.814659999999975,1.3886599999999767
296,108517,0,28.926,19.048339999999993,9.877660000000006
297,136567,0,31.708,29.676380000000037,2.031619999999961
298,106331,0,32.352,34.600719999999995,2.2487199999999987
299,136696,0,28.354000000000003,25.728079999999995,2.625920000000008
300,104549,0,37.494,36.40712000000003,1.0868799999999723
301,106459,0,33.126,33.55640000000001,0.430400000000013
302,107486,0,35.874,35.25097999999998,0.6230200000000252
303,104560,0,32.025999999999996,32.86463999999997,0.8386399999999767
304,136857,0,28.627999999999997,28.387700000000013,0.24029999999998353
305,107812,0,30.014,29.857699999999976,0.15630000000002298
306,106555,0,36.8,36.54670000000006,0.253299999999939
307,107822,0,32.948,33.60845999999998,0.6604599999999792
308,104626,0,34.836,33.339459999999946,1.4965400000000528
309,105788,0,34.464,34.748379999999976,0.28437999999997743
310,107393,0,37.934,37.101180000000056,0.8328199999999413
311,109605,0,32.519999999999996,29.385019999999994,3.1349800000000023
312,105867,0,33.878,33.382260000000024,0.49573999999997653
313,105879,0,35.0,33.48172000000001,1.51827999999999
314,106615,0,36.32,35.90534000000005,0.41465999999994807
315,106639,0,34.0,34.06046,0.06045999999999907
316,105390,0,34.844,34.452680000000015,0.3913199999999861
317,106546,0,37.366,36.909079999999996,0.45692000000000377
318,164521,0,27.875999999999998,23.42599999999998,4.450000000000017
319,104687,0,28.594,30.727300000000014,2.1333000000000126
320,107764,0,31.988,32.34221999999997,0.35421999999996956
321,107645,0,32.374,32.19545999999997,0.17854000000003367
322,106442,0,35.968,35.17407999999997,0.7939200000000355
323,109312,0,31.018,29.089120000000023,1.9288799999999782
324,104790,0,32.872,33.79613999999995,0.9241399999999516
325,136691,0,31.302,28.670279999999995,2.631720000000005
326,104441,0,30.772000000000002,27.82035999999999,2.951640000000012
327,105292,0,29.956,33.28231999999998,3.3263199999999777
328,105715,0,32.757999999999996,32.47893999999997,0.2790600000000225
329,106960,0,30.52,31.110039999999984,0.5900399999999841
330,108388,0,30.436,27.45010000000002,2.9858999999999796
331,105318,0,34.54,34.79347999999998,0.25347999999998194
332,106289,0,35.114,33.310180000000024,1.8038199999999733
333,107364,0,32.528,26.39208000000001,6.135919999999988
334,106114,0,34.034,33.32268000000005,0.7113199999999509
335,107553,0,31.566000000000003,31.098339999999972,0.4676600000000306
336,109009,0,33.952,31.68062000000003,2.2713799999999686
337,105486,0,35.628,35.43686000000003,0.19113999999996878
338,105629,0,32.192,32.984980000000014,0.7929800000000142
339,107219,0,30.892000000000003,30.85023999999999,0.04176000000001423
340,106004,0,30.986,30.780399999999982,0.2056000000000182
341,104501,0,32.846,32.20652000000001,0.6394799999999847
342,109801,0,30.288,29.44162000000001,0.8463799999999893
343,107780,0,37.05,35.15202000000004,1.8979799999999543
344,106247,0,29.538,30.27384000000001,0.7358400000000103
345,105768,0,36.462,35.75022000000001,0.7117799999999903
346,106317,0,32.726,32.83768000000004,0.11168000000004241
347,105410,0,35.11,34.88946000000003,0.22053999999997131
348,109152,0,30.784,27.79432000000004,2.9896799999999573
349,106492,0,36.352,36.10783999999997,0.24416000000002924
350,105861,0,35.577999999999996,35.38079999999998,0.19720000000001647
351,109007,0,34.958,31.087060000000037,3.870939999999962
352,107018,0,28.733999999999998,30.09181999999998,1.3578199999999825
353,109799,0,32.87,31.243879999999947,1.62612000000005
354,107378,0,36.5,35.768119999999996,0.7318800000000039
355,104862,0,29.466,27.509000000000015,1.9569999999999865
356,106788,0,37.63,36.49852000000005,1.1314799999999536
357,109000,0,30.860000000000003,28.362980000000004,2.497019999999999
358,107686,0,30.833999999999996,33.44158000000001,2.607580000000013
359,107512,0,32.204,32.59796000000002,0.3939600000000212
360,105507,0,32.69,33.17064000000002,0.4806400000000224
361,107926,0,35.08,31.35687999999997,3.72312000000003
362,108840,0,30.72,27.964859999999973,2.7551400000000257
363,106581,0,37.495999999999995,36.66166000000003,0.8343399999999619
364,106922,0,34.428,33.42011999999996,1.0078800000000356
365,105974,0,33.18,32.70747999999997,0.47252000000003136
366,106035,0,29.21,29.995320000000014,0.7853200000000129
367,105265,0,32.662,32.66939999999997,0.007399999999968543
368,105053,0,37.464,36.975179999999966,0.48882000000003245
369,160514,0,29.814,30.15342,0.3394200000000005
370,160519,0,30.6,29.419959999999975,1.1800400000000266
371,104997,0,37.766000000000005,36.21626000000003,1.5497399999999786
372,107425,0,27.7,28.642159999999986,0.942159999999987
373,105382,0,33.134,34.339599999999976,1.2055999999999756
374,107010,0,32.878,32.43484000000003,0.44315999999997047
375,105036,0,29.636000000000003,31.32907999999998,1.693079999999977
376,105534,0,28.5,30.129799999999985,1.6297999999999853
377,105113,0,35.346,34.81954,0.526459999999993
378,108805,0,28.092000000000002,26.11948000000004,1.9725199999999639
379,107373,0,37.664,35.26376000000005,2.400239999999954
380,105403,0,36.168,35.63602000000001,0.5319799999999901
381,105771,0,35.106,34.365960000000065,0.7400399999999365
382,106923,0,35.162,34.10729999999995,1.0547000000000466
383,107519,0,34.986000000000004,31.131800000000013,3.8541999999999916
384,104787,0,34.472,33.93214000000006,0.5398599999999405
385,104939,0,33.204,31.386700000000037,1.817299999999964
386,105347,0,34.042,34.220679999999994,0.17867999999999284
387,105136,0,37.608,36.477600000000045,1.1303999999999519
388,106441,0,36.233999999999995,33.18085999999999,3.053140000000006
389,106619,0,37.17,35.00272000000001,2.167279999999991
390,106117,0,30.448,30.386499999999973,0.0615000000000272
391,109618,0,32.162,31.31901999999996,0.8429800000000398
392,158526,0,34.844,30.880120000000034,3.9638799999999677
393,105893,0,29.636000000000003,29.63843999999998,0.0024399999999786814
394,105360,0,30.416000000000004,32.109840000000034,1.69384000000003
395,108030,0,30.77,32.33059999999999,1.5605999999999902
396,109665,0,29.588,30.184380000000015,0.5963800000000141
397,105304,0,32.9,33.72028000000004,0.8202800000000394
398,107435,0,35.136,33.60171999999997,1.534280000000031
399,105438,0,35.227999999999994,35.002740000000024,0.22525999999997026
