school_id,NAME,DIVISIONID,DIVISION,Cluster,filipino_mean_rs,filipino_sd_rs,filipino_mds,math_mean_rs,math_sd_rs,math_mds,english_mean_rs,english_sd_rs,english_mds,science_mean_rs,science_sd_rs,science_mds,araling_mean_rs,araling_sd_rs,araling_mds,overall_mean_rs,overall_sd_rs,overall_mds
107022,Abelardo G. Tinio ES,Angeles City,III,3,26.13,7.09,65.32,19.81,11.20,49.54,20.86,9.86,52.16,17.48,6.93,43.71,21.01,8.81,52.52,105.30,38.81,52.65
107023,Angeles ES,Angeles City,III,1,30.70,5.16,76.75,26.91,9.27,67.29,27.40,7.63,68.49,25.97,8.44,64.92,26.07,7.45,65.17,137.05,34.78,68.53
107024,Belen Homesite ES,Angeles City,III,5,29.72,3.44,74.31,30.39,4.05,75.97,27.94,2.60,69.86,25.28,3.04,63.19,29.06,3.10,72.64,142.39,11.31,71.19
107025,Cutud ES,Angeles City,III,3,32.75,3.19,81.88,34.70,7.22,86.74,35.41,6.22,88.53,27.44,4.09,68.60,35.73,5.85,89.32,166.03,24.09,83.02
107026,Don Ambrosio Mendiola ES,Angeles City,III,5,34.03,2.35,85.08,28.53,2.59,71.33,32.66,3.30,81.64,30.38,2.28,75.94,27.22,1.07,68.05,152.81,7.30,76.41
107027,Dr. Clemente N. Dayrit Sr. ES,Angeles City,III,2,29.28,5.08,73.19,28.45,6.79,71.12,28.11,7.04,70.27,17.56,3.43,43.90,29.12,6.66,72.80,132.51,23.17,66.26
107028,Enrica Sandico ES,Angeles City,III,4,32.76,2.80,81.91,37.10,4.96,92.74,36.21,3.45,90.52,33.64,2.47,84.10,32.54,3.37,81.35,172.25,13.16,86.13
107029,EPZA Resettlement ES,Angeles City,III,2,25.86,3.81,64.65,32.28,3.72,80.69,27.84,3.96,69.60,24.41,3.72,61.01,23.54,3.90,58.86,133.93,13.25,66.96
107030,Mining ES,Angeles City,III,5,35.13,2.34,87.83,35.00,2.34,87.50,32.96,2.93,82.39,30.65,4.00,76.63,30.87,3.17,77.17,164.61,10.33,82.30
107031,Pandan ES,Angeles City,III,3,30.62,3.40,76.55,31.85,4.47,79.62,34.34,4.35,85.85,27.51,3.09,68.79,33.37,4.08,83.44,157.70,16.57,78.85
107032,Pineda Gutierrez ES,Angeles City,III,4,26.72,5.80,66.80,16.60,5.98,41.49,16.89,5.94,42.22,16.55,4.96,41.37,16.39,5.31,40.98,93.14,22.29,46.57
107033,Pulung Cacutud ES,Angeles City,III,4,30.29,5.14,75.73,26.72,7.63,66.80,26.08,6.97,65.19,23.05,6.97,57.63,20.56,6.32,51.39,126.70,23.72,63.35
107034,Pulungbulu ES,Angeles City,III,3,30.26,4.52,75.64,26.49,5.00,66.21,26.57,6.60,66.44,25.52,5.92,63.81,23.92,5.19,59.80,132.76,19.56,66.38
107035,Salapungan ES,Angeles City,III,3,25.60,7.22,64.00,18.04,7.73,45.09,17.17,6.67,42.91,17.06,6.36,42.65,19.00,5.76,47.50,96.87,28.34,48.43
107036,San Ignacio Es,Angeles City,III,5,29.03,5.23,72.58,20.48,6.19,51.21,23.06,5.42,57.66,21.81,6.63,54.52,23.74,5.74,59.35,118.13,24.83,59.06
107037,Sapalibutad ES,Angeles City,III,3,24.09,6.04,60.24,14.53,6.18,36.32,14.71,5.28,36.78,13.83,5.05,34.57,15.19,5.06,37.99,82.36,22.04,41.18
107038,Alberto G. Pabalan ES,Angeles City,III,4,26.85,4.68,67.13,23.48,7.09,58.69,23.54,4.88,58.85,23.44,5.09,58.61,25.05,6.42,62.62,122.36,19.87,61.18
107039,Amsic ES,Angeles City,III,3,28.45,5.77,71.13,24.18,7.99,60.45,22.34,6.59,55.84,23.60,7.29,58.99,20.11,4.46,50.29,118.68,26.96,59.34
107040,Edilberto M. Ganzon ES,Angeles City,III,2,27.61,3.74,69.03,28.01,7.24,70.02,27.62,7.09,69.04,25.04,5.47,62.61,27.69,5.92,69.22,135.97,24.16,67.98
107041,Gueco Balibago ES,Angeles City,III,1,28.04,6.33,70.11,23.46,9.16,58.65,21.92,8.53,54.80,22.34,7.63,55.85,24.36,7.74,60.89,120.12,32.35,60.06
107042,Malabanias ES,Angeles City,III,3,37.12,3.92,92.79,36.27,4.45,90.67,31.54,4.36,78.84,34.71,3.89,86.78,34.43,4.34,86.07,174.06,16.72,87.03
107043,Marisol Bliss ES,Angeles City,III,4,22.23,8.90,55.57,28.10,8.52,70.26,24.07,6.76,60.18,24.82,10.65,62.06,25.54,6.44,63.85,124.77,26.08,62.39
107044,Sapangbato ES,Angeles City,III,2,29.83,4.66,74.58,33.49,5.97,83.71,33.85,6.53,84.62,30.95,6.06,77.37,30.88,5.95,77.19,158.99,22.58,79.49
107045,Sitio Target ES,Angeles City,III,6,30.93,2.20,77.32,29.21,2.83,73.04,29.36,1.50,73.39,23.64,2.06,59.11,23.21,1.67,58.04,136.36,6.28,68.18
107046,Sitio Pader ES,Angeles City,III,4,30.34,3.57,75.85,28.27,9.61,70.69,26.16,7.00,65.40,19.00,4.95,47.50,26.90,6.72,67.26,130.68,24.90,65.34
107047,Sta. Maria ES,Angeles City,III,3,28.63,5.63,71.57,30.36,6.64,75.90,30.78,6.52,76.94,27.56,5.68,68.91,30.64,5.09,76.60,147.97,22.02,73.98
107048,Sta. Teresita ES,Angeles City,III,2,31.98,2.29,79.94,36.19,4.81,90.47,34.32,3.66,85.80,33.41,3.66,83.52,32.55,3.37,81.38,168.45,13.32,84.22
107049,Tacondo ES,Angeles City,III,4,35.99,4.04,89.96,33.42,2.89,83.54,33.84,2.29,84.59,34.88,2.15,87.20,33.06,2.48,82.65,171.18,9.85,85.59
107050,Teodoro P. Tinio ES,Angeles City,III,3,26.20,6.49,65.50,21.73,9.31,54.33,22.42,9.22,56.05,21.01,8.32,52.53,18.65,5.89,46.62,110.01,32.21,55.01
107051,Virgen delos Remedios ES,Angeles City,III,4,28.45,4.69,71.12,23.93,6.33,59.82,23.84,5.96,59.59,16.73,4.20,41.82,22.72,5.56,56.79,115.66,20.65,57.83
107052,Apung Guidang Nepomuceno ES,Angeles City,III,4,33.69,3.92,84.23,35.08,7.09,87.69,33.59,8.38,83.97,31.36,7.36,78.40,31.14,5.61,77.85,164.86,27.25,82.43
107053,Cuayan ES,Angeles City,III,3,30.12,5.91,75.30,25.92,9.39,64.80,24.29,9.58,60.72,26.67,7.29,66.67,25.17,6.48,62.93,132.17,31.74,66.09
107054,Cutcut ES,Angeles City,III,3,23.24,6.47,58.09,19.25,8.58,48.14,15.98,6.07,39.95,18.21,5.62,45.51,21.18,6.61,52.94,97.85,26.26,48.93
107055,Don Pepe Henson MS,Angeles City,III,5,26.42,5.54,66.05,22.97,6.23,57.42,25.94,6.30,64.84,24.84,5.51,62.10,24.77,4.74,61.94,124.94,20.72,62.47
107056,Leoncia Village ES,Angeles City,III,5,30.00,1.90,75.00,34.07,2.66,85.19,31.78,2.15,79.44,33.96,2.10,84.91,30.67,2.56,76.67,160.48,7.72,80.24
107057,Lourdes Norhtwest ES,Angeles City,III,2,31.49,7.68,78.72,29.01,11.08,72.53,27.83,10.63,69.57,25.88,10.38,64.69,24.84,7.86,62.11,139.04,44.65,69.52
107058,M. Nepomuceno ES,Angeles City,III,2,27.77,6.66,69.42,18.90,7.21,47.24,23.56,7.17,58.89,21.57,6.93,53.94,21.77,7.01,54.43,113.57,26.57,56.78
107059,Pampang ES,Angeles City,III,3,34.28,3.20,85.71,33.75,4.11,84.38,31.38,4.73,78.44,30.78,4.07,76.94,28.26,5.37,70.65,158.45,15.58,79.23
107060,Sto. Domingo IS,Angeles City,III,3,30.28,4.75,75.69,23.12,6.70,57.79,24.40,5.56,61.00,22.58,5.66,56.44,23.31,4.75,58.27,123.68,21.13,61.84
107061,Sto. Rosario ES,Angeles City,III,1,34.61,5.29,86.53,31.82,9.45,79.55,32.41,8.61,81.03,31.29,8.73,78.22,25.76,5.23,64.39,155.89,34.45,77.94
161001,Airforce City ES,Angeles City,III,5,26.07,4.04,65.18,18.76,7.17,46.90,19.14,5.50,47.86,16.69,4.57,41.73,20.10,4.99,50.24,100.76,20.45,50.38
161002,Northville 15 IS,Angeles City,III,2,25.12,6.44,62.81,14.38,6.33,35.95,17.32,6.33,43.29,15.37,5.17,38.42,17.73,5.99,44.34,89.92,24.83,44.96
161003,Gov. Rafael L. Lazatin IS,Angeles City,III,5,27.63,4.76,69.08,22.30,7.79,55.76,17.93,6.44,44.84,18.02,5.31,45.05,20.02,5.34,50.05,105.91,22.41,52.96
104408,A.V. Mijares ES,Aurora,III,4,32.44,4.40,81.09,33.26,4.80,83.15,29.23,6.71,73.07,30.08,4.69,75.21,29.97,4.82,74.92,154.98,18.27,77.49
104409,Baler CS,Aurora,III,2,32.37,3.72,80.91,34.47,4.36,86.19,34.81,3.93,87.02,31.16,4.70,77.89,29.94,3.82,74.85,162.74,13.57,81.37
104410,Calabuanan ES,Aurora,III,4,30.31,3.73,75.77,34.12,4.27,85.29,36.09,3.48,90.22,26.43,2.35,66.07,29.51,4.57,73.79,156.46,11.82,78.23
104411,Carmen T. Valenzuela ES,Aurora,III,4,27.13,2.98,67.83,29.05,5.28,72.63,25.40,4.19,63.50,27.75,4.58,69.38,24.02,5.67,60.04,133.35,14.55,66.68
104412,Diego Ortiz ES,Aurora,III,4,31.25,3.56,78.13,28.54,6.06,71.34,30.29,3.21,75.71,27.25,1.91,68.13,24.43,7.18,61.07,141.75,14.66,70.88
104413,Mariano L. Sindac ES,Aurora,III,5,35.29,1.49,88.21,34.83,2.72,87.07,30.74,3.24,76.86,28.77,1.90,71.93,31.66,2.61,79.14,161.29,8.91,80.64
104414,Obligacion ES,Aurora,III,5,33.33,2.50,83.33,37.63,2.14,94.06,30.96,2.37,77.40,29.63,1.21,74.06,30.29,2.10,75.73,161.83,8.10,80.92
104415,Reserva ES,Aurora,III,4,32.29,3.99,80.71,33.13,2.80,82.83,32.95,6.05,82.38,29.21,4.91,73.04,32.17,2.51,80.42,159.75,14.00,79.88
104416,Ruperto P. Zubia Sr. ES,Aurora,III,3,27.04,5.68,67.60,31.52,5.88,78.79,29.91,4.09,74.77,30.05,5.61,75.13,30.77,2.33,76.92,149.28,14.52,74.64
104417,Setan ES,Aurora,III,6,27.71,3.15,69.29,30.29,2.58,75.71,26.43,3.20,66.07,23.86,2.51,59.64,30.07,3.29,75.18,138.36,9.39,69.18
104418,Suklayin ES,Aurora,III,3,30.08,6.52,75.19,32.80,5.17,82.00,25.17,7.24,62.92,27.66,7.10,69.15,26.08,6.81,65.21,141.78,18.02,70.89
104419,Agues ES,Aurora,III,6,24.75,2.50,61.88,16.50,1.29,41.25,12.50,3.42,31.25,17.50,7.90,43.75,24.25,2.22,60.63,95.50,7.85,47.75
104420,Bianoan ES,Aurora,III,3,25.15,6.04,62.88,14.01,5.40,35.02,15.41,5.70,38.52,13.94,5.21,34.86,16.36,5.00,40.90,84.87,22.16,42.43
104421,Calabgan - Ditinagyan ES,Aurora,III,5,25.91,4.95,64.78,21.71,6.82,54.26,22.88,4.94,57.21,19.06,3.46,47.65,21.53,3.82,53.82,111.09,16.51,55.54
104422,Calantas ES,Aurora,III,6,29.65,3.92,74.12,28.94,4.60,72.35,31.76,2.28,79.41,25.35,3.72,63.38,30.06,2.25,75.15,145.76,8.52,72.88
104423,Casiguran CS,Aurora,III,2,32.48,4.27,81.21,31.04,6.31,77.60,28.80,4.86,72.01,27.96,4.14,69.91,25.19,3.47,62.98,145.48,16.16,72.74
104424,Dibacong ES,Aurora,III,4,29.76,4.51,74.40,32.63,5.16,81.59,29.13,5.24,72.82,28.52,5.60,71.31,29.29,3.79,73.21,149.33,18.19,74.67
104425,Dibet ES,Aurora,III,6,27.26,5.43,68.16,21.32,7.27,53.29,19.16,5.39,47.89,16.37,5.86,40.92,18.05,5.36,45.13,102.16,22.33,51.08
104426,Dumaguipo ES,Aurora,III,6,29.79,2.15,74.46,34.36,2.17,85.89,29.71,2.33,74.29,27.43,3.76,68.57,29.14,2.71,72.86,150.43,9.15,75.21
104427,Francisco Benitez ES,Aurora,III,6,29.00,5.37,72.50,26.00,4.81,65.00,23.85,5.10,59.62,25.31,4.48,63.27,26.31,4.42,65.77,130.46,20.90,65.23
104428,M. Esteves ES,Aurora,III,5,25.25,4.39,63.13,16.43,6.35,41.07,15.18,4.28,37.95,12.71,3.64,31.79,19.43,3.86,48.57,89.00,17.42,44.50
104429,San Ildefonso ES,Aurora,III,6,23.11,5.26,57.76,17.21,6.25,43.03,14.05,4.62,35.13,14.21,4.76,35.53,18.68,4.10,46.71,87.26,18.64,43.63
104430,Tinib - Calangcuasan ES,Aurora,III,5,33.37,2.99,83.43,36.77,2.44,91.93,32.34,2.40,80.86,31.00,2.52,77.50,33.23,3.87,83.07,166.71,7.90,83.36
104431,Camilo Osias ES,Aurora,III,5,32.49,2.76,81.21,33.23,2.69,83.07,32.51,1.60,81.29,34.57,1.52,86.43,31.49,2.57,78.71,164.29,7.73,82.14
104432,Diagyan ES,Aurora,III,5,25.81,4.92,64.53,28.83,5.54,72.08,22.75,5.76,56.89,27.19,4.37,67.97,29.55,5.07,73.87,134.13,18.88,67.07
104433,Dicabasan ES,Aurora,III,5,24.68,2.83,61.70,28.00,2.58,70.00,25.77,3.45,64.43,28.00,1.66,70.00,27.05,3.08,67.61,133.50,7.96,66.75
104434,Dilaguidi ES,Aurora,III,6,35.18,1.88,87.94,31.71,1.45,79.26,36.65,0.86,91.62,30.18,2.10,75.44,32.88,0.70,82.21,166.59,3.84,83.29
104435,Dilasag CS,Aurora,III,3,32.67,4.32,81.68,27.27,7.44,68.18,28.57,3.23,71.43,31.05,2.32,77.63,29.62,3.85,74.05,149.18,14.21,74.59
104436,Dimaseset ES,Aurora,III,5,29.87,3.48,74.67,24.80,4.55,62.00,23.63,3.02,59.08,30.57,5.30,76.42,22.73,3.39,56.83,131.60,14.36,65.80
104437,Diniog ES,Aurora,III,5,34.20,3.51,85.49,33.93,3.45,84.84,29.30,3.49,73.26,31.00,2.18,77.50,31.41,2.21,78.53,159.85,10.35,79.92
104438,Kasaysayan ES,Aurora,III,6,30.31,2.29,75.77,28.38,2.84,70.96,30.23,2.55,75.58,24.31,2.14,60.77,29.69,2.10,74.23,142.92,6.93,71.46
104439,Lawang ES,Aurora,III,6,25.50,2.89,63.75,20.00,1.41,50.00,17.50,2.65,43.75,15.75,1.71,39.38,19.75,2.06,49.38,98.50,6.86,49.25
104440,Manggitahan ES,Aurora,III,5,30.43,3.40,76.07,32.51,3.67,81.28,33.22,2.45,83.06,24.18,2.06,60.46,31.20,1.77,78.01,151.55,10.15,75.78
104441,Pedro Orata ES,Aurora,III,6,31.71,1.70,79.29,32.29,3.55,80.71,31.14,2.48,77.86,29.14,2.19,72.86,29.57,3.31,73.93,153.86,6.89,76.93
104442,Ura ES,Aurora,III,6,36.67,3.54,91.67,32.86,3.85,82.14,32.29,2.17,80.71,31.14,2.67,77.86,30.62,3.65,76.55,163.57,9.41,81.79
104446,Ditawini ES,Aurora,III,6,30.80,2.75,77.00,35.85,2.08,89.63,32.95,1.00,82.38,30.90,1.07,77.25,32.50,1.76,81.25,163.00,6.23,81.50
104447,Mapalad ES,Aurora,III,6,29.53,3.68,73.83,31.73,3.77,79.33,28.20,4.20,70.50,30.87,4.22,77.17,30.73,3.92,76.83,151.07,15.58,75.53
104448,Emeterio Inocillas ES,Aurora,III,5,29.65,2.85,74.13,28.87,3.15,72.17,32.48,2.91,81.20,23.74,1.81,59.35,27.30,2.29,68.26,142.04,8.60,71.02
104449,Paleg ES,Aurora,III,6,31.16,3.04,77.89,32.42,2.41,81.05,30.05,2.78,75.13,26.32,1.92,65.79,23.79,2.76,59.47,143.74,8.81,71.87
104450,Paulino L. Bautista ES,Aurora,III,5,30.97,5.01,77.44,30.51,3.75,76.28,30.03,5.29,75.06,29.15,4.32,72.88,28.90,3.47,72.24,149.56,18.47,74.78
104451,Abungan ES,Aurora,III,6,34.13,2.70,85.31,31.38,1.51,78.44,30.50,2.00,76.25,32.25,0.71,80.63,31.50,0.76,78.75,159.75,4.30,79.88
104452,Cabog ES,Aurora,III,5,33.53,5.84,83.82,31.17,6.31,77.92,31.25,9.23,78.13,26.31,7.34,65.76,28.75,5.94,71.88,151.00,30.29,75.50
104453,Caragsacan ES,Aurora,III,5,31.35,5.18,78.38,32.84,5.35,82.09,27.19,4.09,67.97,23.78,3.98,59.46,22.24,4.15,55.61,137.41,16.79,68.70
104454,Dikapanikian ES,Aurora,III,6,27.88,2.70,69.69,23.88,2.59,59.69,19.13,4.49,47.81,21.00,2.56,52.50,27.25,5.44,68.13,119.13,11.32,59.56
104455,Dingalan CS,Aurora,III,3,34.03,2.33,85.07,36.09,1.88,90.23,22.69,2.14,56.74,27.14,3.51,67.85,30.87,2.20,77.18,150.82,6.92,75.41
104457,Ibona ES,Aurora,III,4,27.02,4.09,67.56,33.74,1.83,84.36,30.23,2.37,75.58,29.23,1.64,73.08,19.98,1.76,49.94,140.21,6.02,70.11
104458,Malamig ES,Aurora,III,6,27.00,8.84,67.50,23.24,4.68,58.09,25.53,5.99,63.82,25.18,3.99,62.94,25.00,4.96,62.50,125.94,23.55,62.97
104459,Matawe ES,Aurora,III,4,28.06,5.30,70.15,21.54,6.89,53.85,22.42,4.85,56.04,24.12,4.76,60.31,20.91,6.97,52.27,117.05,21.61,58.52
104460,Paltic ES,Aurora,III,3,34.88,3.41,87.20,33.55,3.61,83.86,32.06,3.13,80.16,34.12,3.32,85.30,28.46,2.41,71.16,163.07,10.90,81.54
104461,Singawan ES,Aurora,III,6,29.56,4.07,73.89,24.56,2.65,61.39,29.56,3.47,73.89,22.56,1.74,56.39,26.67,3.16,66.67,132.89,8.22,66.44
104462,Umiray ES,Aurora,III,4,30.01,3.36,75.04,29.58,4.18,73.96,28.45,3.72,71.12,28.90,2.91,72.24,27.45,4.57,68.62,144.39,12.20,72.19
104463,Bayabas ES,Aurora,III,6,28.06,6.07,70.16,28.69,4.96,71.72,19.44,4.50,48.59,21.75,3.64,54.38,22.38,4.57,55.94,120.31,19.93,60.16
104464,Borlongan ES,Aurora,III,5,23.13,7.87,57.82,21.91,9.10,54.79,12.68,4.27,31.70,20.26,9.09,50.64,14.87,5.11,37.18,92.85,30.53,46.43
104465,Calaocan ES,Aurora,III,6,24.57,6.96,61.43,17.86,5.17,44.64,19.21,4.08,48.04,22.86,2.48,57.14,23.29,2.20,58.21,107.79,17.15,53.89
104466,Dianed ES,Aurora,III,6,24.05,6.30,60.12,21.71,5.01,54.29,21.76,3.39,54.40,18.33,2.85,45.83,19.19,2.54,47.98,105.05,13.71,52.52
104467,Diarabasin ES,Aurora,III,5,25.07,5.48,62.66,28.39,4.96,70.98,23.93,6.63,59.84,19.17,6.27,47.93,22.13,7.59,55.33,118.70,21.34,59.35
104468,Dibutunan ES,Aurora,III,6,28.33,3.09,70.83,30.40,4.26,76.00,25.93,1.94,64.83,28.27,5.09,70.67,24.87,4.19,62.17,137.80,9.86,68.90
104469,Dinadiawan ES,Aurora,III,4,29.00,4.61,72.50,28.04,5.34,70.11,22.26,6.21,55.64,22.57,4.51,56.44,26.65,3.59,66.62,128.52,17.11,64.26
104470,Dipaculao CS,Aurora,III,3,30.49,4.93,76.22,29.09,9.14,72.73,28.77,8.02,71.93,26.71,6.55,66.76,27.84,6.10,69.60,142.90,29.79,71.45
104471,Ditale ES,Aurora,III,5,31.90,3.91,79.76,31.29,4.44,78.23,30.10,3.17,75.24,26.84,3.94,67.10,30.13,3.38,75.32,150.26,13.77,75.13
104472,Gupa ES,Aurora,III,6,23.38,5.49,58.46,24.46,5.77,61.15,16.31,5.50,40.77,14.54,4.22,36.35,21.69,4.66,54.23,100.38,18.52,50.19
104473,Ipil ES,Aurora,III,5,26.26,6.15,65.65,32.04,3.76,80.11,20.48,5.86,51.20,16.74,3.32,41.85,25.43,2.11,63.59,120.96,14.97,60.48
104474,Laboy ES,Aurora,III,6,30.20,4.02,75.50,24.00,4.85,60.00,20.80,7.08,52.00,21.20,2.86,53.00,22.60,5.64,56.50,118.80,19.11,59.40
104475,Lipit ES,Aurora,III,6,27.70,3.06,69.25,26.70,4.38,66.75,22.15,4.33,55.38,10.00,3.08,25.00,24.40,4.10,61.00,110.95,10.30,55.48
104476,Maligaya ES,Aurora,III,6,33.21,2.83,83.04,34.64,3.10,86.61,28.21,3.95,70.54,26.93,5.85,67.32,27.93,4.92,69.82,150.93,14.00,75.46
104477,Mijares ES,Aurora,III,6,29.43,5.62,73.57,27.14,3.97,67.86,28.43,3.59,71.07,26.38,3.20,65.95,27.19,3.04,67.98,138.57,13.74,69.29
104478,Mucdol ES,Aurora,III,5,33.03,5.02,82.59,34.07,4.49,85.17,30.14,5.26,75.34,26.83,6.26,67.07,27.34,5.80,68.36,151.41,20.48,75.71
104479,Puangi ES,Aurora,III,5,30.17,3.33,75.42,29.31,4.37,73.26,23.56,5.42,58.89,23.50,4.14,58.75,25.47,4.02,63.68,132.00,13.26,66.00
104480,Emeterio M. Quirino ES,Aurora,III,5,33.71,3.79,84.27,32.48,3.03,81.21,27.45,4.52,68.63,28.13,2.95,70.32,30.32,1.01,75.81,152.10,11.21,76.05
104481,Sapangkawayan ES,Aurora,III,6,30.17,4.27,75.42,28.50,8.26,71.25,31.39,3.27,78.47,28.61,7.17,71.53,24.28,6.15,60.69,142.94,20.03,71.47
104482,T.A. Molina Sr. ES,Aurora,III,6,26.19,5.49,65.47,20.38,7.64,50.94,17.31,6.20,43.28,17.31,6.81,43.28,20.31,5.07,50.78,101.50,27.40,50.75
104483,Toytoyan ES,Aurora,III,6,31.69,3.72,79.22,27.38,4.19,68.44,27.38,3.16,68.44,28.31,4.27,70.78,25.00,3.88,62.50,139.75,13.55,69.88
104484,Bagtu ES,Aurora,III,6,29.81,5.22,74.52,30.05,5.22,75.12,21.43,3.67,53.57,22.71,4.83,56.79,26.43,4.96,66.07,130.43,19.56,65.21
104485,M.R. Necesito Sr. MES,Aurora,III,6,29.80,3.82,74.50,35.20,2.53,88.00,29.60,3.53,74.00,23.00,2.26,57.50,26.20,4.08,65.50,143.80,11.19,71.90
104486,Leon B Hulipas ES,Aurora,III,6,31.67,2.13,79.17,34.73,2.25,86.83,30.13,4.67,75.33,29.20,2.78,73.00,31.27,2.22,78.17,157.00,8.90,78.50
104487,Bazal ES,Aurora,III,5,32.93,2.78,82.33,37.28,3.12,93.19,34.38,1.45,85.95,33.41,1.86,83.53,32.28,2.20,80.69,170.28,8.47,85.14
104488,Cabituculan East ES,Aurora,III,5,36.41,2.63,91.01,30.41,4.45,76.01,32.97,2.69,82.43,36.22,0.85,90.54,32.86,2.68,82.16,168.86,8.33,84.43
104489,Calao ES,Aurora,III,6,33.18,2.53,82.94,36.06,2.49,90.15,30.00,2.45,75.00,32.53,1.50,81.32,32.65,3.72,81.62,164.41,8.34,82.21
104490,Debucao ES,Aurora,III,5,24.78,6.16,61.96,27.87,6.74,69.67,20.78,6.51,51.96,25.17,6.30,62.93,23.30,5.35,58.26,121.91,22.43,60.96
104491,Decoliat ES,Aurora,III,6,29.00,1.93,72.50,38.00,0.76,95.00,31.75,1.04,79.38,28.13,2.90,70.31,28.25,1.16,70.63,155.13,4.49,77.56
104492,Detailen ES,Aurora,III,6,25.28,4.23,63.19,27.50,2.36,68.75,23.17,2.36,57.92,23.00,1.85,57.50,29.50,3.15,73.75,128.44,6.98,64.22
104493,Diaat ES,Aurora,III,5,33.62,2.17,84.04,26.31,2.88,65.77,33.81,1.83,84.52,27.62,1.39,69.04,34.54,2.20,86.35,155.88,6.54,77.94
104494,B.R. Dulay MES,Aurora,III,6,30.63,2.62,76.56,30.38,3.02,75.94,25.00,3.34,62.50,26.13,3.87,65.31,28.00,3.78,70.00,140.13,9.55,70.06
104495,Dikildit ES,Aurora,III,5,29.82,2.40,74.55,36.04,3.56,90.09,31.93,2.48,79.82,30.82,1.39,77.05,28.00,1.39,70.00,156.61,6.98,78.30
104496,Dimanpudso ES,Aurora,III,4,36.07,3.93,90.17,33.45,4.14,83.63,34.72,4.76,86.80,33.52,3.34,83.80,35.05,4.07,87.63,172.81,14.13,86.41
104497,Dimotol ES,Aurora,III,6,29.43,3.16,73.57,24.93,2.67,62.32,19.00,3.35,47.50,21.64,3.15,54.11,26.07,4.14,65.18,121.07,9.87,60.54
104498,Diome ES,Aurora,III,5,36.78,2.09,91.96,37.96,1.40,94.89,31.39,2.89,78.48,31.30,1.29,78.26,31.43,2.74,78.59,168.87,6.74,84.43
104499,Estonilo ES,Aurora,III,6,31.11,4.64,77.76,33.05,2.04,82.63,30.05,2.78,75.13,24.63,3.99,61.58,25.26,6.85,63.16,144.11,8.18,72.05
104500,Francisco Q. Dagyapen MES,Aurora,III,5,34.61,2.04,86.52,35.78,2.39,89.46,32.57,1.93,81.41,31.65,1.43,79.13,30.00,3.33,75.00,164.61,6.10,82.30
104501,Galintuja ES,Aurora,III,6,34.92,1.44,87.31,35.38,2.14,88.46,34.46,1.39,86.15,29.54,2.73,73.85,29.92,3.40,74.81,164.23,6.78,82.12
104502,Kadayakan ES,Aurora,III,4,35.47,2.58,88.69,33.51,3.13,83.77,31.69,2.66,79.24,31.29,4.12,78.22,30.68,2.66,76.69,162.64,9.63,81.32
104503,Leon Diaz Sr. ES,Aurora,III,5,33.89,1.63,84.72,29.86,7.20,74.66,32.64,5.31,81.59,27.61,2.94,69.03,37.70,0.90,94.26,161.70,10.91,80.85
104504,Maria Aurora CS,Aurora,III,2,36.92,3.90,92.31,35.04,3.50,87.59,34.09,3.74,85.22,32.67,3.48,81.68,34.21,3.04,85.53,172.93,11.78,86.46
104505,Punglo ES,Aurora,III,6,34.67,1.41,86.67,39.78,0.67,99.44,29.78,1.20,74.44,23.89,0.78,59.72,30.67,1.41,76.67,158.78,3.42,79.39
104506,Quirino ES,Aurora,III,5,32.08,2.92,80.21,36.44,4.18,91.11,32.86,2.92,82.15,32.17,4.23,80.42,31.86,2.31,79.65,165.42,12.45,82.71
104507,San Jose ES,Aurora,III,5,29.44,5.05,73.59,28.53,2.44,71.33,20.88,5.23,52.19,30.09,3.09,75.23,17.91,2.51,44.77,126.84,10.44,63.42
104508,San Juan ES,Aurora,III,5,32.10,2.98,80.26,34.38,3.22,85.95,33.21,2.14,83.02,29.52,4.26,73.79,25.00,2.25,62.50,154.21,10.80,77.10
104509,San Leonardo ES,Aurora,III,6,27.08,5.73,67.71,31.42,3.15,78.54,24.83,3.97,62.08,19.67,3.89,49.17,26.42,2.75,66.04,129.42,12.57,64.71
104510,Suguit ES,Aurora,III,6,28.50,2.68,71.25,33.88,4.66,84.69,21.19,1.80,52.97,23.00,3.20,57.50,31.88,1.71,79.69,138.44,8.35,69.22
104511,Villa Aurora ES,Aurora,III,6,31.14,3.90,77.86,26.93,4.89,67.32,25.07,2.95,62.68,27.29,3.31,68.21,27.71,4.65,69.29,138.14,14.00,69.07
104512,Wenceslao ES,Aurora,III,6,28.00,3.24,70.00,33.94,3.35,84.86,24.67,5.35,61.67,14.22,3.89,35.56,23.33,4.09,58.33,124.17,13.91,62.08
104513,Bacong ES,Aurora,III,6,31.20,3.05,78.00,33.10,2.77,82.75,30.50,1.84,76.25,26.50,4.03,66.25,31.80,1.87,79.50,153.10,9.09,76.55
104514,Dibayabay ES,Aurora,III,6,24.42,3.55,61.04,22.50,2.81,56.25,20.17,2.92,50.42,22.42,1.88,56.04,20.92,2.07,52.29,110.42,7.29,55.21
104515,Dibut ES,Aurora,III,6,25.20,4.97,63.00,24.75,2.84,61.88,23.20,3.04,58.00,22.25,3.16,55.63,23.45,3.87,58.63,118.85,12.21,59.43
